Stand_ID,Lat,Lon,Category
1,81.35183333333333,2722.8853833333337,Apron 1
2,171.39977777777779,2703.1867055555554,Apron 1
3,82.06483333333333,2724.604166666667,Apron 1
6,5.836394444444444,82.09533333333333,Apron 1
7,2722.3177666666666,171.31344444444446,Apron 1
8,2706.974272222222,82.10483333333333,Apron 1
9,2713.808466666667,171.15227777777778,Apron 1
10,2711.8521499999997,82.19222222222223,Apron 1
11,171.12944444444446,2716.171977777778,Apron 1
12,82.282,2707.2708861111114,Apron 1
14,171.08644444444445,2716.830738888889,Apron 1
15,82.257,2702.3297222222222,Apron 1
16,67.85042222222222,82.20483333333334,Apron 1
17,2703.9288555555554,171.06377777777777,Apron 1
18,2708.401277777778,82.068,Apron 1
19,2704.3468361111113,171.01577777777777,Apron 1
20,2661.8183055555555,81.352,Apron 1
21,2654.3568777777778,170.18944444444446,Apron 1
22,2704.925638888889,82.09316666666666,Apron 1
23,2647.8479083333336,170.09094444444446,Apron 1
24,2705.9342777777774,82.06816666666666,Apron 1
26,2642.643611111111,2703.253888888889,Apron 1
27,81.36216666666667,2644.575338888889,Apron 1
28,170.0977777777778,2660.755488888889,Apron 1
30,81.30866666666667,2651.9935555555558,Apron 1
31,170.21161111111113,2653.3664333333336,Apron 1
32,81.175,2651.831722222222,Apron 1
33,170.1688888888889,81.10683333333333,Apron 1
34,2651.3208555555557,170.20327777777777,Apron 1
35,2645.7970305555555,81.10566666666665,Apron 1
36,2656.944891666667,171.01061111111113,Apron 1
37,2731.3084999999996,82.49116666666666,Apron 1
38,2657.3338916666667,170.2362777777778,Apron 1
39,2727.2062916666664,82.4185,Apron 1
40,2649.6225972222223,170.11194444444445,Apron 1
41,2722.924375,82.34633333333332,Apron 1
42,2641.410277777778,2720.40295,Apron 1
43,82.30516666666666,2637.580677777778,Apron 1
45,169.90144444444445,2715.7608888888885,Apron 1
46,82.20972222222223,169.82327777777778,Apron 1
47,2713.7898694444443,82.23216666666667,Apron 1
101,82.52977777777777,170.33483333333334,Apron 2
102,2733.7754694444448,2659.6376250000003,Apron 2
104,82.51494444444445,170.272,Apron 2
106,2730.494277777778,2654.4658805555555,Apron 2
108,82.43961111111112,170.1395,Apron 2
